	0alternatorVoltage	0boostPressure	0engineTemperature	0fuelRate	0revolutions	0runTime	XTE	courseOverGroundTrue	datumdeltaAltitude	datumdeltaLatitude	datumdeltaLongitude	depthbelowSurface	distanceLogdistanceSinceReset	headingMagnetic	magneticVariation	positionlatitude	positionlongitude	rateOfTurn	speedOverGround	speedThroughWater	totalDistance	watertemperature	windangleApparent	windspeedApparent
2016-11-26 10:23:40								4.124200000000001	0.0	0.0	0.0	2.637428571428572	-1539309503.0	2.116639393939394	-0.1933	38.72504800000001	-76.54299899999994	0.0009280909090909091	0.0	0.0	1083770795.0	283.24749749999995	3.92539696969697	7.133030303030302
2016-11-26 10:23:45								4.124200000000001				2.638	-1539309503.0	2.117331914893617	-0.1933	38.72504800000001	-76.5429989999999	0.007890978723404257	0.0	0.0	1083770795.0	283.26249700000005	3.9041021276595753	7.803191489361696
2016-11-26 10:23:50								4.124200000000001	0.0	0.0	0.0	2.634363636363636	-1539309503.0	2.116137735849057	-0.1933	38.725047999999994	-76.54299899999992	-0.008952547169811321	0.0	0.0	1083770795.0	283.2516683333333	3.9886075471698113	7.942452830188678
2016-11-26 10:23:55								4.124200000000001				2.6399999999999997	-1539309503.0	2.116026	-0.1933	38.725048	-76.54299899999991	0.0001733999999999941	0.0	0.0	1083770795.0	283.24600219999996	3.844199999999997	7.453999999999995
2016-11-26 10:24:00								4.124200000000001	0.0	0.0	0.0	2.6420000000000003	-1539309503.0	2.116582	-0.1933	38.725048	-76.54299899999991	-0.012692440000000001	0.0	0.0	1083770795.0	283.2599976	4.030920000000001	6.642000000000001
2016-11-26 10:24:05								4.124200000000001				2.6390000000000002	-1539309503.0	2.1185240000000003	-0.1933	38.725050148148156	-76.5429989999999	-0.004275200000000002	0.0	0.0	1083770795.0	283.2419982	4.030920000000002	6.704000000000001
2016-11-26 10:24:10								4.124200000000001	0.0	0.0	0.0	2.65	-1539309503.0	2.118017999999999	-0.1933	38.7250525818182	-76.54299899999991	0.01632896	0.0	0.0	1083770795.0	283.254004	3.619079999999998	4.55
2016-11-26 10:24:15								4.124200000000001				2.646	-1539309503.0	2.123551999999999	-0.1933	38.72505600000001	-76.54299899999991	0.015486680000000008	0.0	0.0	1083770795.0	283.2299986	3.44982	3.153999999999997
2016-11-26 10:24:20								4.124200000000001	0.0	0.0	0.0	2.6499999999999995	-1539309503.0	2.1194760000000006	-0.1933	38.72505600000001	-76.54299899999991	-0.02992304	0.0	0.0	1083770795.0	283.247998	3.448079999999996	3.31
2016-11-26 10:24:25								4.124200000000001				2.6439999999999997	-1539309503.0	2.1196280000000005	-0.1933	38.72505621818183	-76.54299899999991	0.01164952000000001	0.0	0.0	1083770795.0	283.2580018	4.023919999999997	4.241999999999998
2016-11-26 10:24:30								4.124200000000001	0.0	0.0	0.0	2.6439999999999997	-1539309503.0	2.1172720000000007	-0.1933	38.725056370370375	-76.5429989999999	-0.005182480000000002	0.0	0.0	1083770795.0	283.24999379999997	3.798820000000001	3.727999999999998
2016-11-26 10:24:35								4.124200000000001				2.643	-1539309503.0	2.1174800000000005	-0.1933	38.72505636363637	-76.54299899999991	0.01660916	0.0	0.0	1083770795.0	283.2419982	3.5178800000000034	3.090000000000002
2016-11-26 10:24:40								4.124200000000001	0.0	0.0	0.0	2.6420000000000003	-1539309503.0	2.118684	-0.1933	38.725056370370375	-76.5429989999999	-0.0177859	0.0	0.0	1083770795.0	283.25199580000003	3.495200000000001	2.5580000000000003
2016-11-26 10:24:45								4.124200000000001				2.636	-1539309503.0	2.116892	-0.1933	38.72505912727273	-76.54299899999991	-0.008724939999999995	0.0	0.0	1083770795.0	283.24999379999997	3.763939999999997	2.515999999999998
2016-11-26 10:24:50								4.124200000000001	0.0	0.0	0.0	2.633	-1539309503.0	2.1183940000000003	-0.1933	38.72506	-76.54299899999991	0.00548478	0.0	0.0	1083770795.0	283.24199200000004	3.5597799999999995	2.391999999999999
2016-11-26 10:24:55								4.124200000000001				2.6390000000000002	-1539309503.0	2.11741	-0.1933	38.72505999999999	-76.5429989999999	-0.025301180000000003	0.0	0.0	1083770795.0	283.2380004	3.8407000000000027	3.893999999999999
2016-11-26 10:25:00								4.124200000000001	0.0	0.0	0.0	2.6380000000000003	-1539309503.0	2.117882	-0.1933	38.72505825454546	-76.54299899999991	0.028363520000000003	0.0	0.0	1083770795.0	283.2599914	3.7115799999999997	5.159999999999999
2016-11-26 10:25:05								4.124200000000001				2.632	-1539309503.0	2.11881	-0.1933	38.725055636363635	-76.54299772727266	-0.007027840000000005	0.0	0.0	1083770795.0	283.25	3.6697000000000006	4.951999999999997
2016-11-26 10:25:10								4.124200000000001	0.0	0.0	0.0	2.6340000000000003	-1539309503.0	2.1193520000000006	-0.1933	38.72505237037038	-76.54299200000005	0.0035010799999999997	0.0	0.0	1083770795.0	283.2460022	4.043140000000002	5.733999999999996
2016-11-26 10:25:15								4.124200000000001				2.6379999999999995	-1539309503.0	2.120356	-0.1933	38.725052363636365	-76.54299112727278	-0.0023093999999999988	0.0	0.0	1083770795.0	283.2539978	3.989040000000003	6.344000000000001
2016-11-26 10:25:20								4.124200000000001	0.0	0.0	0.0	2.642	-1539309503.0	2.1202580000000006	-0.1933	38.725052363636365	-76.54298400000005	0.007962120000000001	0.0	0.0	1083770795.0	283.2679994	3.9157199999999994	6.188
2016-11-26 10:25:25								4.124200000000001				2.646	-1539309503.0	2.1199739999999996	-0.1933	38.72505229090908	-76.54298400000005	0.005747200000000001	0.0	0.0	1083770795.0	283.252002	3.9104999999999994	5.538000000000002
